stem,img_path,json_path,ext,label,mask_n_rects,nationality,capture_type,p_patel,pred_patel,p_efficientnet_b4,pred_efficientnet_b4,p_vit,pred_vit,correct_all,disagreement,selection_type
ukraine-NF-1057,E:\TFM_Hernan\TFM\mywork\FantasyID\train\bonafide\huawei\ukraine-NF-1057.jpg,E:\TFM_Hernan\TFM\mywork\FantasyID\train\bonafide\huawei\ukraine-NF-1057.json,.jpg,0,0,ukraine,huawei,6.784389938729873e-09,0,2.0412666344782338e-05,0,0.9999990463256836,1,False,0.9999990395412937,discrepant
french-097_03,E:\TFM_Hernan\TFM\mywork\FantasyID\train\bonafide\iphone15pro\french-097_03.jpg,E:\TFM_Hernan\TFM\mywork\FantasyID\train\bonafide\iphone15pro\french-097_03.json,.jpg,0,0,french,iphone15pro,5.910694380872883e-05,0,2.691898544071592e-07,0,1.9677505406434648e-05,0,True,5.883775395432167e-05,agreement
portugal-NF-1024,E:\TFM_Hernan\TFM\mywork\FantasyID\train\bonafide\scan\portugal-NF-1024.jpg,E:\TFM_Hernan\TFM\mywork\FantasyID\train\bonafide\scan\portugal-NF-1024.json,.jpg,0,0,portugal,scan,0.0010546036064624,0,2.931781182269333e-07,0,1.9445200450718403e-05,0,True,0.0010543104283442,agreement
usa-NF-1017,E:\TFM_Hernan\TFM\mywork\FantasyID\train\bonafide\huawei\usa-NF-1017.jpg,E:\TFM_Hernan\TFM\mywork\FantasyID\train\bonafide\huawei\usa-NF-1017.json,.jpg,0,0,usa,huawei,0.0001583501289132,0,5.7018573196288e-10,0,1.9914352378691547e-05,0,True,0.0001583495587275,agreement
arabic-024_03,E:\TFM_Hernan\TFM\mywork\FantasyID\train\bonafide\huawei\arabic-024_03.jpg,E:\TFM_Hernan\TFM\mywork\FantasyID\train\bonafide\huawei\arabic-024_03.json,.jpg,0,0,arabic,huawei,4.623841789452854e-07,0,7.635879592271522e-05,0,2.0223920728312805e-05,0,True,7.589641174376993e-05,agreement
usa-137_03,E:\TFM_Hernan\TFM\mywork\FantasyID\test\attack\digital_3\iphone15pro\usa-137_03.jpg,E:\TFM_Hernan\TFM\mywork\FantasyID\test\attack\digital_3\iphone15pro\usa-137_03.json,.jpg,1,3,usa,digital_3,0.9952072501182556,1,0.9999954700469972,1,3.4202701499452814e-05,0,False,0.9999612673454976,discrepant
chinese-142_03,E:\TFM_Hernan\TFM\mywork\FantasyID\train\attack\digital_1\iphone15pro\chinese-142_03.jpg,E:\TFM_Hernan\TFM\mywork\FantasyID\train\attack\digital_1\iphone15pro\chinese-142_03.json,.jpg,1,5,chinese,digital_1,1.0,1,1.0,1,0.9999991655349731,1,True,8.344650268554688e-07,agreement
turkiye-121_03,E:\TFM_Hernan\TFM\mywork\FantasyID\train\attack\digital_2\scan\turkiye-121_03.jpg,E:\TFM_Hernan\TFM\mywork\FantasyID\train\attack\digital_2\scan\turkiye-121_03.json,.jpg,1,5,turkiye,digital_2,0.9999998807907104,1,0.9999997615814208,1,0.9999991655349731,1,True,7.152557373046875e-07,agreement
netherland-flickr_M_37190718595_78e318623b_k,E:\TFM_Hernan\TFM\mywork\FantasyID\test\attack\facedancer\scan\netherland-flickr_M_37190718595_78e318623b_k.jpg,E:\TFM_Hernan\TFM\mywork\FantasyID\test\attack\facedancer\scan\netherland-flickr_M_37190718595_78e318623b_k.json,.jpg,1,2,netherland,facedancer,1.0,1,1.0,1,0.9999991655349731,1,True,8.344650268554688e-07,agreement
singapore-flickr_M_24170605047_501e882ccc_o,E:\TFM_Hernan\TFM\mywork\FantasyID\test\attack\textdiffuserft_bfei\huawei\singapore-flickr_M_24170605047_501e882ccc_o.jpg,E:\TFM_Hernan\TFM\mywork\FantasyID\test\attack\textdiffuserft_bfei\huawei\singapore-flickr_M_24170605047_501e882ccc_o.json,.jpg,1,3,singapore,textdiffuserft_bfei,1.0,1,1.0,1,0.9999991655349731,1,True,8.344650268554688e-07,agreement
